Equipment,location,notes
Function generator for 1.0 MOT piezo,Lv1,
Temperature and pump controllers for cavity,Lv1 next to function generator,
Power (for Na uWave),Lv1 next to uWave breadboard,
SAES pump,Lv1 above 1.0 chamber,
,Table,
PLL for 1.5 Cs MOT,Table near 1.5 Cs MOT,
,Floor,
Controllers for TiSapph (Mercury),Floor northwest corner,SolsTis controller Lv1 facing KRb
Controllers for TiSapph (Venus),Floor southwest corner,
Water chiller for uWave breadboard,Floor below 1.5 Na MOT beam path,
**Machine table facing KRb**,"top -> down, north side",
,Lv3,
Highest (voltage) power in the lab,Zip tied to you know where it is...,
,Lv2,
Benchtop power 1 Chn,Lv2 northwest corner facing KRb,
"Home power (+-15,5)",Lv2 above 1.5 Cs Raman,
Benchtop power 1 Chn (x2),"Lv2 on home power (+-15,5)",
High voltage power,"Lv2 between home power (+-15,5) and FPGA box",
FPGA box for 1.5,Lv2,
Valan,Lv2 left of FPGA box,Save settings
Home temp servo x3 for STIRAP,Lv2 left of FPGA box,
"Benchtop power (x9, 2+1 Chn x2 & 2 Chn x1 & 1 Chn x6)",Lv2,
Home power (24),Lv2 above 1.0 tweezer breadboard,
"Home power (+-15,5)",Lv2 on home power (24),
Benchtop power 2 Chn,Lv2 northeast corner,
Keithley multimeter (x2),Lv2 northeast corner,
,Lv1,
Shutter driver,Lv1 on M2 controller,
Function generator,Lv1 on shutter driver,unused?
Home temp servo,Lv1 left of M2 controller,
Home servo x2 for 1.5 tweezers,Lv1 left of home temp servo,
Till driver v2,Lv1 above 1.5 Cs Raman beam path,
Delay generator for 1.5 Na,Lv1 below 1.5 output panel,Save setting
Rack for STIRAP,Lv1 above STIRAP,
"Till driver (x2, v1 & v2) for STIRAP lasers",Lv1 above rack for 1.5,
Vincent servo x2 for STIRAP lasers,Lv1,
Home servo x2,Lv1,
Current servo for compensation coil,Lv1 below home power (24),
Greiner servo,Lv1 northeast corner,
,Table,
,Floor,
Home temp servo x2 for 1.5 Cs Raman,Floor rack Lv2,
Piezo driver,Floor rack Lv2 on home temp servo x2,
Benchtop power 1 Chn,Floor rack Lv2 left of uWave foam,
Till driver v2 x2 for 1.5 Cs Raman,Floor rack Lv2,
Home servo for 1.5 Cs Raman phase lock,Floor rack Lv2 above Till drivers,
Benchtop power 2+1 Chn,Floor rack Lv1,
Benchtop power 1 Chn,Floor rack Lv1,
Chiller for 1.0 camera,Floor,
Benchtop power 1 Chn x 3,Floor STIRAP rack Lv2,
**1.5 Rack**,,
Home power (24),Bottom level,
Benchtop power 2 Chn,Above home power (24),
SAES pump controller,Middle left,
Benchtop power 1 Chn x3 for dispensers and fan,Middle next to pump controller,
Benchtop power 2 Chn for 1.5 coil,Above oscilloscopes,
"Home power (+-15,5)",Top level,
Function generator for 1.5 MOT piezo,Top level on high voltage Amp,
**Below 1.5 table**,,
IGBT stack,Floor,
Chiller for 1.5 camera,Floor behind IGBT,
Benchtop power 1 Chn x 4,Floor between table and drawers,
**Other**,,
Feshbach power,HVAC room,
Coolng water,,
